company_id,name,company_size,state,city
1009,IBM,7,NY,"Armonk, New York"
1016,GE HealthCare,7,0,Chicago
1025,Hewlett Packard Enterprise,7,Texas,Houston
1028,Oracle,7,Texas,Austin
1035,Microsoft,7,Washington,Redmond
1052,AT&T,7,TX,Dallas
1053,Intel Corporation,7,California,Santa Clara
1063,Cisco,7,CA,San Jose
1066,Motorola Mobility (a Lenovo Company),5,Illinois,Chicago
1068,JPMorgan Chase & Co.,7,NY,New York
1079,KPMG US,7,NY,New York
1103,Verizon,7,NJ,Basking Ridge
1116,Procter & Gamble,7,Ohio,Cincinnati
1123,Bank of America,7,NC,Charlotte
1136,Elite Technology,4,NY,New York
1185,Pfizer,7,New York,New York
1207,Johnson & Johnson,7,NJ,New Brunswick
1224,US Army Corps of Engineers,7,DC,Washington
1235,Wells Fargo,7,California,San Francisco
1253,Sony Electronics,7,0,San Diego - US | Tokyo - JP
1256,Sony Pictures Entertainment,6,CA,Culver City
1277,American Express,7,NY,New York
1281,Unisys,7,Pennsylvania,Blue Bell
1288,Yahoo,7,CA,Sunnyvale
1292,The Walt Disney Company,7,CA,Burbank
1307,Fidelity Investments,7,MA,Boston
1337,LinkedIn,7,CA,Sunnyvale
1339,Air Force Research Laboratory,6,OH,Wright-Patterson AFB
1344,Honeywell,7,North Carolina,Charlotte
1359,National Security Agency,7,MD,Ft. Meade
1371,McKinsey & Company,7,0,0
1373,Xerox,7,Connecticut,Norwalk
1377,Fujitsu Network Communications,5,Texas,Richardson
1382,Goldman Sachs,7,New York,New York
1384,Boeing,7,VA,Arlington
1392,T-Mobile,7,WA,Bellevue
1403,Booz Allen Hamilton,7,VA,McLean
1412,Northrop Grumman,7,VA,Falls Church
1419,Capital One,7,Va,McLean
1431,PepsiCo,7,New York,Purchase
1441,Google,7,CA,Mountain View
1449,Electronic Arts (EA),7,CA,Redwood City
1463,ADP,7,New Jersey,Roseland
1464,CDK Global,6,Texas,Austin
1466,Teradata,7,California,San Diego
1468,SLB,7,Texas,Houston
1472,General Motors,7,Michigan,Detroit
1474,Ally,7,MI,Detroit
1480,Adobe,7,CA,San Jose
1481,eBay,7,CA,San Jose
1482,PayPal,7,CA,San Jose
1483,Ford Motor Company,7,Michigan,Dearborn
1486,Merck,7,New Jersey,Rahway
1491,SAS,7,NC,Cary
1494,Avaya,6,New Jersey,Morristown
1497,AMD,7,California,Santa Clara
1504,MIT Lincoln Laboratory,5,MA,Lexington
1505,Raytheon,7,VA,Arlington
1511,Mondelēz International,7,IL,Greater Chicago Area
1515,Eastman Kodak Company,5,NY,Rochester
1517,Carestream,5,NY,Rochester
1523,UPS,7,GA,Atlanta
1526,Agilent Technologies,7,CA,Santa Clara
1534,The Home Depot,7,Georgia,Atlanta
1539,Amdocs,7,MO,Chesterfield
1544,Mars,7,Virginia,McLean
1550,Kaiser Permanente,7,California,Oakland
1586,Amazon,7,WA,Seattle
1597,BMC Software,6,Texas,Houston
1612,Abbott,7,Illinois,Abbott Park
1614,SAIC,7,VA,Reston
1627,Dignity Health,7,CA,San Francisco
1629,Owens & Minor,7,VA,Mechanicsville
1632,Stanford Children's Health | Lucile Packard Children's Hospital Stanford,5,CA,Palo Alto
1637,Boston Scientific,7,MA,Marlborough
1645,Harvard Medical School,7,ma,Boston
1646,Harvard University,7,Massachusetts,Cambridge
1654,Harvard Law School,5,MA,Cambridge
1657,Dana-Farber Cancer Institute,5,MA,Boston
1658,Boston Children's Hospital,7,MA,Boston
1659,Beth Israel Deaconess Medical Center,6,MA,Boston
1663,Eli Lilly and Company,7,Indiana,Indianapolis
1666,Intuit,7,California,Mountain View
1668,FedEx Ground,7,Pennsylvania,Coraopolis
1670,FedEx Services,7,Tennessee,Memphis
1673,Ogilvy,7,NY,New York
1677,Gap Inc.,7,California,San Francisco
1678,Banana Republic,7,CA,San Francisco
1680,Cognizant,7,New Jersey,Teaneck
1681,Robert Half,7,CA,Menlo Park
1689,ExxonMobil,4,0,0
1694,The Coca-Cola Company,7,GA,Atlanta
1703,Comcast,7,PA,Philadelphia
1714,Nielsen,7,NY,New York
1760,AIG,7,NY,New York
1767,State Street,7,Massachusetts,Boston
1773,Bristol Myers Squibb,7,NJ,Lawrence Township
1784,Boston Consulting Group (BCG),7,Massachusetts,Boston
1789,SLAC National Accelerator Laboratory,5,California,Menlo Park
1790,Stanford University School of Medicine,6,CA,Palo Alto
1792,Stanford University,7,CA,Stanford
1799,ManpowerGroup,7,Wisconsin,Milwaukee
1827,NBC News,7,NY,New York
1828,NBCUniversal,7,NY,New York City
1833,CNBC,4,NJ,Englewood Cliffs
1835,Allstate,7,IL,Northbrook
1841,Medtronic,7,MN,Minneapolis
1852,Prudential Financial,7,New Jersey,Newark
1855,Charles Schwab,7,Texas,Westlake
1864,3M,7,MN,St Paul
1869,Capco Energy Solutions,5,TX,Houston
1874,Marsh,7,New York,New York
1879,Autodesk,7,CA,San Francisco
1881,"BAE Systems, Inc.",7,Virginia,Falls Church
1885,Nickelodeon,2,CA,Los Angeles
1900,McKesson,7,Texas,Irving
1905,General Dynamics Information Technology,7,Virginia,Falls Church
1906,General Dynamics Land Systems,6,0,0
1908,General Dynamics Mission Systems,7,VA,Fairfax
1926,McCann Worldgroup,7,NY,New York
1927,MRM,5,NY,New York
1928,UM Worldwide,5,NY,New York
1935,PTC,6,Massachusetts,Boston
1995,Mavenir,6,Texas,Richardson
2003,NASA - National Aeronautics and Space Administration,7,DC,Washington
2017,Qualcomm,7,CA,San Diego
2018,Applied Materials,7,CA,Santa Clara
2019,Western Union,6,CO,Denver
2029,Nike,7,OR,Beaverton
2032,Spectrum Enterprise,7,CT,Stamford
2035,Coldwell Banker Realty,5,NJ,Madison
2046,CNN,5,0,Atlanta
2068,Amgen,7,CA,Thousand Oaks
2078,Gartner,7,CT,Stamford
2092,Mack Trucks,5,NC,Greensboro
2105,NetApp,7,California,San Jose
2107,Toyota North America,7,TX,Plano
2114,Bain & Company,7,MA,Boston
2121,Avis Budget Group,7,NJ,Parsippany
2127,Best Buy,7,Minnesota,Richfield
